milis,x,y,z,ffall,switch,state
1195,0,0,-30,0,0,0
1204,-1,0,-31,0,0,0
1212,-1,0,-31,0,0,0
1223,-1,0,-31,0,0,0
1231,-1,0,-31,0,0,0
1242,-1,0,-31,0,0,0
1251,-1,0,-31,0,0,0
1261,-1,1,-31,0,0,0
1269,0,0,-31,0,0,0
1280,-1,0,-31,0,0,0
1288,-1,0,-31,0,0,0
1298,-1,0,-31,0,0,0
1307,-1,0,-31,0,0,0
1317,-1,0,-31,0,0,0
1326,-1,0,-31,0,0,0
1336,0,0,-31,0,0,0
1344,0,0,-31,0,0,0
1354,0,0,-31,0,0,0
1362,0,0,-31,0,0,0
1374,0,0,-31,0,0,0
1382,-1,0,-31,0,0,0
1392,-1,0,-31,0,0,0
1461,-1,0,-31,0,0,0
1469,-1,0,-31,0,0,0
1480,-1,0,-31,0,0,0
1489,-1,0,-31,0,0,0
1500,-1,0,-31,0,0,0
1510,-1,0,-31,0,0,0
1519,-1,-1,-31,0,0,0
1528,-1,0,-31,0,0,0
1539,-1,0,-31,0,0,0
1547,-1,0,-31,0,0,0
1557,-1,0,-31,0,0,0
1566,-1,0,-31,0,0,0
1575,-1,0,-31,0,0,0
1585,0,0,-31,0,0,0
1595,-1,0,-31,0,0,0
1604,-1,0,-31,0,0,0
1613,-1,0,-31,0,0,0
1623,-1,0,-31,0,0,0
1632,-1,0,-32,0,0,0
1641,-1,0,-31,0,0,0
1651,-1,0,-31,0,0,0
1660,-1,0,-31,0,0,0
1670,0,0,-31,0,0,0
1679,0,0,-31,0,0,0
1689,0,0,-31,0,0,0
1697,0,0,-31,0,0,0
1711,0,0,-31,0,0,0
1719,0,0,-31,0,0,0
1730,-1,0,-31,0,0,0
1738,-1,0,-31,0,0,0
1748,0,0,-31,0,0,0
1758,0,0,-31,0,0,0
1768,-1,0,-31,0,0,0
1776,-1,0,-31,0,0,0
1786,-1,0,-31,0,0,0
1795,-1,0,-31,0,0,0
1805,-1,0,-31,0,0,0
1814,-1,0,-32,0,0,0
1824,-1,0,-31,0,0,0
1832,-1,0,-31,0,0,0
1843,-1,0,-31,0,0,0
1852,-1,0,-31,0,0,0
1862,0,0,-31,0,0,0
1870,0,0,-31,0,0,0
1881,-1,0,-31,0,0,0
1889,-1,0,-31,0,0,0
1899,-1,0,-31,0,0,0
1908,-1,0,-31,0,0,0
1918,-1,0,-31,0,0,0
1927,-1,0,-31,0,0,0
1937,-1,0,-31,0,0,0
1948,-1,0,-31,0,0,0
1957,-1,0,-31,0,0,0
1968,-1,0,-31,0,0,0
1978,-1,0,-31,0,0,0
1987,-1,0,-31,0,0,0
1996,-1,0,-31,0,0,0
2007,-1,0,-31,0,0,0
2015,-1,0,-31,0,0,0
2025,-1,0,-31,0,0,0
2034,-1,0,-31,0,0,0
2043,-1,0,-31,0,0,0
2054,-1,0,-31,0,0,0
2066,-1,0,-31,0,0,0
2076,-1,0,-31,0,0,0
2085,0,0,-31,0,0,0
2096,0,0,-31,0,0,0
2105,0,0,-31,0,0,0
2114,0,0,-31,0,0,0
2123,0,0,-31,0,0,0
2132,0,0,-31,0,0,0
2142,-1,0,-31,0,0,0
2152,-1,0,-31,0,0,0
2160,-1,0,-31,0,0,0
2170,-1,0,-31,0,0,0
2180,-1,0,-31,0,0,0
2191,-1,0,-31,0,0,0
2200,-1,0,-31,0,0,0
2211,-1,0,-31,0,0,0
2220,-1,0,-31,0,0,0
2230,0,0,-31,0,0,0
2239,0,0,-31,0,0,0
2249,-1,0,-31,0,0,0
2257,-1,0,-31,0,0,0
2268,-1,0,-31,0,0,0
2276,-1,0,-31,0,0,0
2286,-1,0,-31,0,0,0
2295,-1,0,-31,0,0,0
2306,-1,0,-31,0,0,0
2314,-1,0,-31,0,0,0
2324,-1,0,-31,0,0,0
2332,-1,0,-31,0,0,0
2342,-1,0,-31,0,0,0
2352,-1,0,-31,0,0,0
2362,-1,0,-31,0,0,0
2370,-1,0,-31,0,0,0
2380,-1,0,-31,0,0,0
2388,-1,0,-31,0,0,0
2400,-1,0,-31,0,0,0
2408,0,0,-31,0,0,0
2419,-1,0,-31,0,0,0
2429,0,0,-31,0,0,0
2440,0,0,-31,0,0,0
2449,-1,0,-31,0,0,0
2458,-1,0,-31,0,0,0
2468,-1,0,-31,0,0,0
2478,-1,0,-31,0,0,0
2487,-1,0,-31,0,0,0
2496,-1,0,-31,0,0,0
2505,-1,0,-31,0,0,0
2514,-1,0,-31,0,0,0
2525,-1,0,-31,0,0,0
2533,-1,0,-31,0,0,0
2543,-1,0,-31,0,0,0
2552,0,0,-31,0,0,0
2562,-1,0,-31,0,0,0
2571,-1,0,-31,0,0,0
2580,-1,0,-31,0,0,0
2589,-1,0,-31,0,0,0
2599,-1,0,-31,0,0,0
2609,0,0,-31,0,0,0
2618,0,0,-31,0,0,0
