milis,x,y,z,ffall,switch,state
1037,-1,0,-30,0,0,0
1045,-1,0,-31,0,0,0
1055,-1,0,-31,0,0,0
1064,-1,0,-31,0,0,0
1076,-1,0,-31,0,0,0
1084,-1,0,-31,0,0,0
1094,-1,1,-31,0,0,0
1102,-1,0,-31,0,0,0
1114,-1,1,-31,0,0,0
1122,-1,0,-31,0,0,0
1132,-1,0,-31,0,0,0
1140,0,0,-31,0,0,0
1150,-1,0,-31,0,0,0
1160,-1,0,-31,0,0,0
1170,-1,0,-31,0,0,0
1178,-1,0,-31,0,0,0
1188,-1,0,-31,0,0,0
1197,-1,0,-31,0,0,0
1208,-1,0,-31,0,0,0
1216,-1,0,-31,0,0,0
1226,-1,0,-31,0,0,0
1234,-1,0,-31,0,0,0
1245,0,0,-31,0,0,0
1257,-1,0,-31,0,0,0
1267,0,0,-31,0,0,0
1277,0,0,-31,0,0,0
1287,0,0,-31,0,0,0
1297,-1,0,-31,0,0,0
1305,-1,0,-31,0,0,0
1315,-1,0,-31,0,0,0
1325,-1,0,-31,0,0,0
1334,-1,0,-31,0,0,0
1343,-1,0,-31,0,0,0
1353,-1,0,-31,0,0,0
1362,-1,0,-31,0,0,0
1372,-1,0,-31,0,0,0
1381,-1,0,-31,0,0,0
1391,-1,0,-31,0,0,0
1401,-1,0,-31,0,0,0
1417,-1,0,-31,0,0,0
1425,-1,0,-31,0,0,0
1436,-1,0,-31,0,0,0
1444,0,0,-31,0,0,0
1455,-1,0,-31,0,0,0
1464,-1,1,-31,0,0,0
1474,-1,0,-31,0,0,0
1482,-1,0,-31,0,0,0
1492,0,0,-31,0,0,0
1505,-1,0,-31,0,0,0
1514,-1,0,-31,0,0,0
1524,-1,0,-31,0,0,0
1534,-1,0,-31,0,0,0
1544,-1,0,-31,0,0,0
1553,-1,0,-31,0,0,0
1563,-1,0,-31,0,0,0
1572,-1,0,-31,0,0,0
1582,-1,0,-31,0,0,0
1591,-1,0,-31,0,0,0
1601,0,0,-31,0,0,0
1610,-1,0,-31,0,0,0
1619,-1,0,-31,0,0,0
1629,-1,0,-31,0,0,0
1639,-1,0,-31,0,0,0
1647,0,0,-31,0,0,0
1657,-1,0,-31,0,0,0
1667,-1,0,-31,0,0,0
1676,-1,0,-31,0,0,0
1685,-1,0,-31,0,0,0
1695,-1,0,-31,0,0,0
1704,-1,0,-31,0,0,0
1714,-1,0,-31,0,0,0
1723,-1,0,-31,0,0,0
1733,-1,0,-31,0,0,0
1742,-1,0,-31,0,0,0
1755,-1,0,-31,0,0,0
1763,-1,0,-31,0,0,0
1774,0,0,-31,0,0,0
1782,-1,0,-31,0,0,0
1794,-1,0,-31,0,0,0
1802,-1,0,-31,0,0,0
1812,-1,0,-31,0,0,0
1820,-1,0,-31,0,0,0
1831,0,0,-31,0,0,0
1840,0,0,-31,0,0,0
1850,0,0,-31,0,0,0
1858,0,0,-31,0,0,0
1868,-1,0,-31,0,0,0
1878,-1,0,-31,0,0,0
1888,-1,0,-31,0,0,0
1896,-1,0,-31,0,0,0
1906,-1,0,-31,0,0,0
1914,0,0,-31,0,0,0
1926,-1,0,-31,0,0,0
1934,-1,0,-31,0,0,0
1944,-1,0,-31,0,0,0
1952,-1,0,-31,0,0,0
1963,-1,0,-31,0,0,0
1975,-1,0,-31,0,0,0
1986,0,0,-31,0,0,0
2002,-1,0,-31,0,0,0
2011,-1,0,-31,0,0,0
2022,-1,0,-31,0,0,0
2030,-1,0,-31,0,0,0
2040,-1,0,-31,0,0,0
2050,-1,0,-31,0,0,0
2060,-1,0,-31,0,0,0
2068,0,0,-31,0,0,0
2078,0,0,-31,0,0,0
2087,-1,0,-31,0,0,0
2098,-1,0,-31,0,0,0
2106,-1,0,-31,0,0,0
2116,-1,0,-31,0,0,0
2125,-1,0,-31,0,0,0
2136,-1,0,-31,0,0,0
2144,-1,0,-31,0,0,0
2154,-1,0,-31,0,0,0
2162,-1,0,-31,0,0,0
2172,-1,0,-31,0,0,0
2182,-1,0,-31,0,0,0
2192,-1,0,-31,0,0,0
2200,-1,0,-31,0,0,0
2211,-1,0,-31,0,0,0
2222,-1,0,-31,0,0,0
2232,-1,0,-31,0,0,0
2242,-1,0,-31,0,0,0
2252,-1,0,-31,0,0,0
2262,-1,0,-31,0,0,0
2271,0,0,-31,0,0,0
2281,-1,0,-31,0,0,0
2290,-1,0,-31,0,0,0
2299,-1,0,-31,0,0,0
2309,-1,0,-31,0,0,0
2319,0,0,-31,0,0,0
2327,-1,0,-31,0,0,0
2337,-1,0,-31,0,0,0
2347,-1,0,-31,0,0,0
2357,-1,0,-31,0,0,0
2365,-1,0,-31,0,0,0
2375,0,0,-31,0,0,0
2384,-1,0,-31,0,0,0
2394,-1,0,-31,0,0,0
2403,0,0,-31,0,0,0
2413,-1,0,-31,0,0,0
2422,0,0,-31,0,0,0
2432,-1,0,-31,0,0,0
2441,-1,0,-31,0,0,0
2453,-1,0,-31,0,0,0
2462,0,0,-31,0,0,0
2473,0,0,-31,0,0,0
2482,0,0,-31,0,0,0
2493,-1,0,-31,0,0,0
2501,-1,0,-31,0,0,0
2511,-1,0,-31,0,0,0
2520,-1,0,-31,0,0,0
2530,-1,0,-31,0,0,0
2539,-1,0,-31,0,0,0
2549,-1,0,-31,0,0,0
2557,-1,0,-31,0,0,0
2568,-1,0,-31,0,0,0
2585,-1,1,-31,0,0,0
2594,-1,0,-31,0,0,0
2605,-1,0,-31,0,0,0
2614,-1,0,-31,0,0,0
2624,-1,0,-31,0,0,0
2632,-1,0,-31,0,0,0
2642,-1,0,-31,0,0,0
2652,-1,0,-31,0,0,0
2661,-1,0,-31,0,0,0
2670,-1,0,-31,0,0,0
2679,-1,0,-31,0,0,0
