milis,x,y,z,ffall,switch,state
1192,-1,0,-30,0,0,0
1201,-1,0,-31,0,0,0
1211,-1,0,-31,0,0,0
1219,-1,0,-31,0,0,0
1229,-1,0,-31,0,0,0
1239,-1,0,-31,0,0,0
1248,-1,0,-31,0,0,0
1257,-1,0,-31,0,0,0
1267,-1,0,-31,0,0,0
1275,-1,0,-31,0,0,0
1286,-1,0,-31,0,0,0
1295,-1,0,-31,0,0,0
1304,0,0,-31,0,0,0
1313,-1,0,-31,0,0,0
1323,-1,0,-31,0,0,0
1332,-1,0,-31,0,0,0
1341,-1,0,-31,0,0,0
1350,-1,0,-31,0,0,0
1360,-1,0,-31,0,0,0
1370,-1,0,-31,0,0,0
1379,-1,0,-31,0,0,0
1388,-1,1,-31,0,0,0
1397,-1,1,-31,0,0,0
1409,-1,0,-31,0,0,0
1420,-1,0,-31,0,0,0
1428,-1,0,-31,0,0,0
1439,-1,0,-31,0,0,0
1447,-1,0,-31,0,0,0
1458,-1,0,-31,0,0,0
1466,-1,0,-31,0,0,0
1476,-1,0,-31,0,0,0
1485,-1,0,-31,0,0,0
1496,-1,0,-31,0,0,0
1504,-1,0,-31,0,0,0
1514,-1,0,-31,0,0,0
1522,-1,0,-31,0,0,0
1532,-1,0,-31,0,0,0
1542,-1,0,-31,0,0,0
1552,-1,0,-31,0,0,0
1560,-1,0,-31,0,0,0
1570,-1,0,-31,0,0,0
1579,-1,0,-31,0,0,0
1589,-1,0,-31,0,0,0
1597,-1,0,-31,0,0,0
1607,-1,0,-31,0,0,0
1616,-1,0,-31,0,0,0
1627,-1,0,-31,0,0,0
1635,-1,0,-31,0,0,0
1648,-1,0,-31,0,0,0
1667,-1,0,-31,0,0,0
1676,-1,0,-31,0,0,0
1687,-1,0,-31,0,0,0
1696,-1,0,-31,0,0,0
1707,-1,0,-31,0,0,0
1716,-1,0,-31,0,0,0
1726,-1,0,-31,0,0,0
1734,-1,0,-31,0,0,0
1744,-1,0,-31,0,0,0
1754,-1,1,-31,0,0,0
1763,-1,0,-31,0,0,0
1772,-1,0,-31,0,0,0
1782,-1,0,-31,0,0,0
1792,-1,0,-31,0,0,0
1801,-1,0,-31,0,0,0
1810,-1,0,-31,0,0,0
1820,-1,0,-31,0,0,0
1829,-1,0,-31,0,0,0
1839,-1,0,-31,0,0,0
1848,-1,0,-31,0,0,0
1858,-1,0,-31,0,0,0
1867,-1,0,-31,0,0,0
1876,-1,0,-31,0,0,0
1887,-1,0,-31,0,0,0
1899,-1,0,-31,0,0,0
1907,-1,0,-31,0,0,0
1918,-1,0,-31,0,0,0
1927,-1,0,-31,0,0,0
1938,-1,0,-31,0,0,0
1946,-1,0,-31,0,0,0
1956,-1,0,-31,0,0,0
1965,-1,0,-31,0,0,0
1976,-1,0,-31,0,0,0
1984,-1,0,-31,0,0,0
1994,-1,0,-31,0,0,0
2002,-1,1,-31,0,0,0
2014,-1,0,-31,0,0,0
2022,-1,0,-31,0,0,0
2032,-1,0,-31,0,0,0
2040,-1,1,-31,0,0,0
2052,-1,1,-31,0,0,0
2060,-1,0,-31,0,0,0
2070,-1,0,-31,0,0,0
2078,-1,0,-31,0,0,0
2088,-1,0,-31,0,0,0
2098,-1,0,-31,0,0,0
2108,-1,0,-31,0,0,0
2116,-1,0,-31,0,0,0
2127,-1,0,-31,0,0,0
2138,-1,0,-31,0,0,0
2148,-1,0,-31,0,0,0
2157,-1,1,-31,0,0,0
2166,-1,0,-31,0,0,0
2177,-1,1,-31,0,0,0
2186,-1,0,-31,0,0,0
2195,-1,0,-31,0,0,0
2204,-1,0,-31,0,0,0
2214,-1,0,-31,0,0,0
2225,-1,0,-31,0,0,0
2243,-1,0,-31,0,0,0
2252,-1,0,-31,0,0,0
2263,-1,0,-31,0,0,0
2273,-1,0,-31,0,0,0
2282,-1,0,-31,0,0,0
2291,-1,0,-31,0,0,0
2301,-1,0,-31,0,0,0
2311,-1,0,-31,0,0,0
2320,-1,0,-31,0,0,0
2329,-1,0,-31,0,0,0
2339,-1,0,-31,0,0,0
2349,-1,0,-31,0,0,0
2358,-1,0,-31,0,0,0
2368,-1,0,-31,0,0,0
2380,-1,0,-31,0,0,0
2388,-1,0,-31,0,0,0
2400,-1,0,-31,0,0,0
2408,-1,0,-31,0,0,0
2419,-1,1,-31,0,0,0
2427,-1,0,-31,0,0,0
2438,-1,0,-31,0,0,0
2446,-1,0,-31,0,0,0
2456,-1,0,-31,0,0,0
2465,-1,0,-31,0,0,0
2476,-1,0,-31,0,0,0
2484,-1,0,-31,0,0,0
2494,-1,0,-31,0,0,0
2503,-1,0,-31,0,0,0
2513,-1,0,-31,0,0,0
2522,-1,0,-31,0,0,0
2532,-1,0,-31,0,0,0
2541,-1,0,-31,0,0,0
2551,-1,1,-31,0,0,0
2560,-1,0,-31,0,0,0
2570,-1,0,-31,0,0,0
2578,-1,0,-31,0,0,0
2589,-1,0,-31,0,0,0
2600,-1,0,-31,0,0,0
2611,-1,0,-31,0,0,0
2621,-1,0,-31,0,0,0
2630,-1,0,-31,0,0,0
2640,-1,0,-31,0,0,0
2650,-1,0,-31,0,0,0
2659,-1,0,-31,0,0,0
2668,-1,0,-31,0,0,0
2678,-1,0,-31,0,0,0
2688,-1,0,-31,0,0,0
2697,-1,0,-31,0,0,0
2706,-1,0,-31,0,0,0
2716,-1,0,-31,0,0,0
2725,-1,0,-31,0,0,0
2735,-1,0,-31,0,0,0
2744,-1,0,-31,0,0,0
2754,-1,0,-31,0,0,0
2762,-1,0,-31,0,0,0
2772,-1,0,-31,0,0,0
2782,-1,0,-31,0,0,0
2791,-1,0,-31,0,0,0
2801,-1,0,-31,0,0,0
2820,-1,0,-31,0,0,0
2829,-1,0,-31,0,0,0
2840,-1,0,-31,0,0,0
2850,-1,0,-31,0,0,0
2863,-1,1,-31,0,0,0
2871,-1,0,-31,0,0,0
2882,-1,0,-31,0,0,0
2890,-1,0,-31,0,0,0
2900,-1,0,-31,0,0,0
2910,-1,0,-31,0,0,0
2920,-1,0,-31,0,0,0
2928,-1,0,-31,0,0,0
2938,-1,0,-31,0,0,0
2947,-1,0,-31,0,0,0
2958,-1,0,-31,0,0,0
2966,-1,0,-31,0,0,0
2976,-1,0,-31,0,0,0
2984,-1,0,-31,0,0,0
2995,-1,0,-31,0,0,0
3004,0,0,-31,0,0,0
3014,-1,0,-31,0,0,0
3022,-1,0,-31,0,0,0
3033,-1,0,-31,0,0,0
3042,-1,0,-31,0,0,0
3052,-1,0,-31,0,0,0
3060,-1,0,-31,0,0,0
3070,-1,0,-31,0,0,0
3082,-1,0,-31,0,0,0
3092,-1,0,-31,0,0,0
3102,-1,0,-31,0,0,0
3111,-1,0,-31,0,0,0
3122,-1,0,-31,0,0,0
3131,-1,0,-31,0,0,0
3140,-1,0,-31,0,0,0
3149,-1,1,-31,0,0,0
3160,-1,0,-31,0,0,0
3169,-1,0,-31,0,0,0
3178,-1,0,-31,0,0,0
3187,-1,0,-31,0,0,0
3196,-1,0,-31,0,0,0
3206,-1,0,-31,0,0,0
3216,-1,0,-31,0,0,0
3225,-1,0,-31,0,0,0
3234,-1,0,-31,0,0,0
3244,-1,0,-31,0,0,0
3254,-1,0,-31,0,0,0
3263,-1,0,-31,0,0,0
3272,-1,0,-31,0,0,0
3281,-1,0,-31,0,0,0
3291,-1,0,-31,0,0,0
3300,-1,0,-31,0,0,0
3309,-1,0,-31,0,0,0
3316,-1,0,-31,0,0,0
3326,-1,0,-31,0,0,0
3336,-1,0,-31,0,0,0
3345,-1,1,-31,0,0,0
3354,-1,0,-31,0,0,0
3364,-1,0,-31,0,0,0
3375,-1,0,-31,0,0,0
3393,-1,0,-31,0,0,0
3402,-1,0,-31,0,0,0
3414,-1,0,-31,0,0,0
3423,-1,0,-31,0,0,0
3433,-1,0,-31,0,0,0
3441,-1,0,-31,0,0,0
3451,-1,0,-31,0,0,0
3460,-1,0,-31,0,0,0
3470,-1,0,-31,0,0,0
3479,-1,0,-31,0,0,0
3489,-1,1,-31,0,0,0
3497,-1,1,-31,0,0,0
3508,-1,0,-31,0,0,0
3516,-1,1,-31,0,0,0
3527,-1,0,-31,0,0,0
3535,-1,0,-31,0,0,0
3546,-1,1,-31,0,0,0
3557,-1,1,-31,0,0,0
3567,-1,0,-31,0,0,0
3577,-1,0,-31,0,0,0
3587,-1,0,-31,0,0,0
3597,-1,0,-31,0,0,0
3606,-1,0,-31,0,0,0
3615,-1,0,-31,0,0,0
3624,-1,0,-31,0,0,0
3634,-1,0,-31,0,0,0
3643,-1,0,-31,0,0,0
3653,-1,0,-31,0,0,0
3662,-1,0,-31,0,0,0
3672,-1,0,-31,0,0,0
3681,-1,0,-31,0,0,0
3691,-1,0,-31,0,0,0
3700,-1,0,-31,0,0,0
3709,-1,0,-31,0,0,0
3719,-1,0,-31,0,0,0
3729,-1,0,-31,0,0,0
3737,-1,0,-31,0,0,0
3747,-1,0,-31,0,0,0
3757,-1,0,-31,0,0,0
3766,-1,0,-31,0,0,0
