milis,x,y,z,ffall,switch,state
1035,-1,0,-30,0,0,0
1044,-1,0,-31,0,0,0
1052,-1,0,-31,0,0,0
1062,-1,0,-31,0,0,0
1072,-1,0,-31,0,0,0
1082,-1,0,-31,0,0,0
1090,-1,0,-31,0,0,0
1100,-1,0,-31,0,0,0
1108,-1,0,-31,0,0,0
1119,-1,0,-31,0,0,0
1143,-1,0,-31,0,0,0
1154,-1,0,-31,0,0,0
1164,-1,0,-31,0,0,0
1173,-1,0,-31,0,0,0
1182,-1,0,-31,0,0,0
1191,-1,0,-31,0,0,0
1201,-1,0,-31,0,0,0
1211,-1,0,-31,0,0,0
1219,-1,0,-31,0,0,0
1229,-1,0,-31,0,0,0
1239,-1,0,-31,0,0,0
1248,-1,0,-31,0,0,0
1257,-1,0,-31,0,0,0
1269,-1,0,-31,0,0,0
1277,-1,0,-31,0,0,0
1290,-1,0,-31,0,0,0
1298,-1,0,-31,0,0,0
1308,-1,0,-31,0,0,0
1316,-1,0,-31,0,0,0
1327,-1,0,-31,0,0,0
1336,-1,0,-31,0,0,0
1346,-1,0,-31,0,0,0
1354,-1,0,-31,0,0,0
1364,-1,0,-31,0,0,0
1373,-1,0,-31,0,0,0
1383,-1,0,-31,0,0,0
1392,-1,0,-31,0,0,0
1402,-1,0,-31,0,0,0
1411,-1,0,-31,0,0,0
1421,-1,0,-31,0,0,0
1429,-1,0,-31,0,0,0
1439,-1,0,-31,0,0,0
1448,-1,0,-31,0,0,0
1459,-1,0,-31,0,0,0
1467,-1,0,-31,0,0,0
1477,-1,0,-31,0,0,0
1485,-1,0,-31,0,0,0
1496,-1,0,-31,0,0,0
1507,-1,0,-31,0,0,0
1517,-1,0,-31,0,0,0
1527,-1,0,-31,0,0,0
1537,-1,0,-31,0,0,0
1547,-1,0,-31,0,0,0
1555,-1,0,-31,0,0,0
1565,-1,0,-31,0,0,0
1574,-1,0,-31,0,0,0
1584,-1,0,-31,0,0,0
1593,-1,0,-31,0,0,0
1602,-1,0,-31,0,0,0
1611,-1,0,-31,0,0,0
1620,-1,0,-31,0,0,0
1630,-1,0,-31,0,0,0
1640,-1,1,-31,0,0,0
1648,-1,0,-31,0,0,0
1658,-1,0,-31,0,0,0
1669,-1,0,-31,0,0,0
1691,-1,0,-31,0,0,0
1703,-1,0,-31,0,0,0
1712,-1,0,-31,0,0,0
1723,-1,0,-31,0,0,0
1731,-1,0,-31,0,0,0
1741,-1,0,-31,0,0,0
1753,-1,0,-31,0,0,0
1763,-1,0,-31,0,0,0
1773,-1,0,-31,0,0,0
1782,-1,0,-31,0,0,0
1793,-1,0,-31,0,0,0
1801,0,0,-31,0,0,0
1811,-1,0,-31,0,0,0
1820,-1,0,-31,0,0,0
1829,-1,0,-31,0,0,0
1839,-1,0,-31,0,0,0
1848,-1,0,-31,0,0,0
1857,-1,0,-31,0,0,0
1867,-1,0,-31,0,0,0
1876,-1,0,-31,0,0,0
1886,-1,0,-31,0,0,0
1895,-1,0,-31,0,0,0
1904,-1,0,-31,0,0,0
1913,-1,0,-31,0,0,0
1924,-1,0,-31,0,0,0
1932,-1,0,-31,0,0,0
1942,-1,0,-31,0,0,0
1951,-1,0,-31,0,0,0
1960,-1,0,-31,0,0,0
1970,-1,0,-31,0,0,0
1980,-1,0,-31,0,0,0
1989,-1,0,-31,0,0,0
2000,-1,0,-31,0,0,0
2010,-1,0,-31,0,0,0
2021,-1,0,-31,0,0,0
2029,-1,0,-31,0,0,0
2039,-1,0,-31,0,0,0
2048,-1,0,-31,0,0,0
2058,-1,0,-31,0,0,0
2066,-1,0,-31,0,0,0
2076,-1,0,-31,0,0,0
2085,-1,0,-31,0,0,0
2096,-1,0,-31,0,0,0
2104,-1,0,-31,0,0,0
2114,-1,0,-31,0,0,0
2122,-1,0,-31,0,0,0
2132,-1,0,-31,0,0,0
2141,-1,0,-31,0,0,0
2151,-1,0,-31,0,0,0
2160,-1,0,-31,0,0,0
2170,-1,0,-31,0,0,0
2179,-1,0,-31,0,0,0
2189,-1,0,-31,0,0,0
2197,0,0,-31,0,0,0
2207,-1,0,-31,0,0,0
2233,-1,0,-31,0,0,0
2244,-1,0,-31,0,0,0
2252,-1,0,-31,0,0,0
2264,-1,0,-31,0,0,0
2273,-1,0,-31,0,0,0
2283,-1,0,-31,0,0,0
2291,-1,0,-31,0,0,0
2301,-1,0,-31,0,0,0
2310,-1,0,-31,0,0,0
2320,-1,0,-31,0,0,0
2329,-1,0,-31,0,0,0
2339,-1,0,-31,0,0,0
2348,-1,0,-31,0,0,0
2358,-1,0,-31,0,0,0
2366,-1,0,-31,0,0,0
2376,-1,0,-31,0,0,0
2385,-1,0,-31,0,0,0
2396,-1,0,-31,0,0,0
2404,-1,0,-31,0,0,0
2414,-1,0,-31,0,0,0
2422,-1,0,-31,0,0,0
2433,-1,0,-31,0,0,0
2441,-1,0,-31,0,0,0
2452,-1,0,-31,0,0,0
2463,-1,0,-31,0,0,0
2472,-1,0,-31,0,0,0
2484,-1,0,-31,0,0,0
2493,-1,0,-31,0,0,0
2502,-1,0,-31,0,0,0
2511,-1,0,-31,0,0,0
2522,-1,0,-31,0,0,0
2531,-1,0,-31,0,0,0
2540,-1,0,-31,0,0,0
2549,-1,0,-31,0,0,0
2558,-1,0,-31,0,0,0
2568,-1,0,-31,0,0,0
2578,-1,0,-31,0,0,0
2586,-1,0,-31,0,0,0
2596,-1,0,-31,0,0,0
2606,-1,0,-31,0,0,0
2615,-1,0,-31,0,0,0
2624,-1,0,-31,0,0,0
2634,-1,0,-31,0,0,0
2642,-1,0,-31,0,0,0
2653,-1,0,-31,0,0,0
2661,-1,0,-31,0,0,0
2671,-1,0,-31,0,0,0
2680,-1,0,-31,0,0,0
2690,-1,0,-31,0,0,0
2700,-1,0,-31,0,0,0
2711,-1,0,-31,0,0,0
2719,-1,0,-31,0,0,0
2731,-1,0,-31,0,0,0
2739,-1,0,-31,0,0,0
2749,-1,0,-31,0,0,0
2774,-1,0,-31,0,0,0
2786,-1,0,-31,0,0,0
2794,-1,0,-31,0,0,0
2805,-1,0,-31,0,0,0
