milis,x,y,z,ffall,switch,state
1195,0,0,-29,0,0,0
1204,0,0,-31,0,0,0
1214,-1,0,-31,0,0,0
1224,-1,0,-31,0,0,0
1233,-1,0,-31,0,0,0
1244,0,0,-31,0,0,0
1253,0,0,-31,0,0,0
1262,0,0,-31,0,0,0
1271,-1,0,-31,0,0,0
1282,-1,0,-31,0,0,0
1290,-1,0,-31,0,0,0
1300,-1,0,-31,0,0,0
1309,-1,0,-31,0,0,0
1318,0,1,-31,0,0,0
1328,0,0,-31,0,0,0
1338,-1,0,-31,0,0,0
1346,-1,0,-31,0,0,0
1356,-1,0,-31,0,0,0
1366,-1,0,-31,0,0,0
1375,-1,0,-31,0,0,0
1385,-1,0,-31,0,0,0
1453,-1,0,-31,0,0,0
1462,-1,0,-31,0,0,0
1471,-1,0,-31,0,0,0
1481,-1,0,-31,0,0,0
1492,-1,0,-31,0,0,0
1501,-1,0,-31,0,0,0
1512,0,0,-31,0,0,0
1520,-1,0,-31,0,0,0
1531,-1,0,-31,0,0,0
1540,-1,0,-31,0,0,0
1550,-1,0,-31,0,0,0
1558,-1,0,-31,0,0,0
1568,-1,0,-31,0,0,0
1577,-1,0,-31,0,0,0
1588,-1,0,-31,0,0,0
1596,-1,0,-31,0,0,0
1606,-1,0,-31,0,0,0
1615,-1,0,-31,0,0,0
1626,-1,0,-31,0,0,0
1634,-1,0,-31,0,0,0
1644,-1,0,-31,0,0,0
1652,-1,0,-31,0,0,0
1664,-1,0,-31,0,0,0
1672,-1,1,-31,0,0,0
1682,-1,0,-31,0,0,0
1690,-1,0,-31,0,0,0
1700,0,0,-31,0,0,0
1713,-1,0,-31,0,0,0
1722,-1,0,-31,0,0,0
1732,-1,0,-31,0,0,0
1742,-1,0,-31,0,0,0
1752,-1,0,-31,0,0,0
1761,0,0,-31,0,0,0
1771,-1,0,-31,0,0,0
1780,-1,0,-31,0,0,0
1789,0,0,-31,0,0,0
1799,-1,0,-31,0,0,0
1808,0,0,-31,0,0,0
1817,0,0,-31,0,0,0
1827,-1,0,-31,0,0,0
1837,-1,0,-31,0,0,0
1846,-1,0,-31,0,0,0
1855,0,0,-31,0,0,0
1864,-1,0,-31,0,0,0
1873,-1,0,-31,0,0,0
1884,-1,0,-31,0,0,0
1893,-1,1,-31,0,0,0
1902,-1,0,-31,0,0,0
1911,-1,0,-31,0,0,0
1921,-1,0,-31,0,0,0
1930,-1,0,-31,0,0,0
1940,-1,0,-31,0,0,0
1949,-1,0,-31,0,0,0
1961,-1,0,-31,0,0,0
1970,-1,0,-31,0,0,0
1981,-1,0,-31,0,0,0
1989,-1,0,-31,0,0,0
1999,-1,0,-31,0,0,0
2008,0,0,-31,0,0,0
2018,-1,0,-31,0,0,0
2027,-1,0,-31,0,0,0
2037,-1,0,-31,0,0,0
